T,Vgs,Vds,Id,Cgs,Cgd,Cds
325.0,1.5,0.5,0.0022947596195298267,2.3e-13,1.15e-13,7.637626158259732e-13
325.0,1.5,1.0,0.0023601602686864264,1.15e-13,0.0,6.416889479197479e-13
325.0,1.5,1.5,0.002383299094850019,1.15e-13,0.0,5.640760748177662e-13
325.0,1.5,2.0,0.0024064379210136113,1.15e-13,0.0,5.091750772173155e-13
325.0,1.5,2.5,0.002429576747177204,1.15e-13,0.0,4.677071733467426e-13
325.0,1.5,3.0,0.002452715573340796,1.15e-13,0.0,4.3495883620084003e-13
325.0,2.0,0.0,0.0,2.3e-13,1.15e-13,1e-12
325.0,2.0,0.5,0.00611935898541287,2.3e-13,1.15e-13,7.637626158259732e-13
325.0,2.0,1.0,0.008414118604942697,2.3e-13,1.15e-13,6.416889479197479e-13
325.0,2.0,1.5,0.008686238849825273,1.15e-13,0.0,5.640760748177662e-13
325.0,2.0,2.0,0.008770571265842995,1.15e-13,0.0,5.091750772173155e-13
325.0,2.0,2.5,0.008854903681860716,1.15e-13,0.0,4.677071733467426e-13
325.0,2.0,3.0,0.008939236097878438,1.15e-13,0.0,4.3495883620084003e-13
325.0,2.5,0.0,0.0,2.3e-13,1.15e-13,1e-12
325.0,2.5,0.5,0.009943958351295914,2.3e-13,1.15e-13,7.637626158259732e-13
325.0,2.5,1.0,0.016063317336708783,2.3e-13,1.15e-13,6.416889479197479e-13
325.0,2.5,1.5,0.018358076956238614,2.3e-13,1.15e-13,5.640760748177662e-13
325.0,2.5,2.0,0.01911228795119075,1.15e-13,0.0,5.091750772173155e-13
325.0,2.5,2.5,0.01929605995072143,1.15e-13,0.0,4.677071733467426e-13
325.0,2.5,3.0,0.01947983195025211,1.15e-13,0.0,4.3495883620084003e-13
325.0,3.0,0.0,0.0,2.3e-13,1.15e-13,1e-12
325.0,3.0,0.5,0.013768557717178956,2.3e-13,1.15e-13,7.637626158259732e-13
325.0,3.0,1.0,0.023712516068474868,2.3e-13,1.15e-13,6.416889479197479e-13
325.0,3.0,1.5,0.029831875053887735,2.3e-13,1.15e-13,5.640760748177662e-13
325.0,3.0,2.0,0.03212663467341756,2.3e-13,1.15e-13,5.091750772173155e-13
325.0,3.0,2.5,0.03375304555375933,1.15e-13,0.0,4.677071733467426e-13
325.0,3.0,3.0,0.0340745031304618,1.15e-13,0.0,4.3495883620084003e-13
350.0,0.0,0.0,0.0,0.0,0.0,1e-12
350.0,0.0,0.5,0.0,0.0,0.0,7.637626158259732e-13
350.0,0.0,1.0,0.0,0.0,0.0,6.416889479197479e-13
350.0,0.0,1.5,0.0,0.0,0.0,5.640760748177662e-13
350.0,0.0,2.0,0.0,0.0,0.0,5.091750772173155e-13
350.0,0.0,2.5,0.0,0.0,0.0,4.677071733467426e-13
350.0,0.0,3.0,0.0,0.0,0.0,4.3495883620084003e-13
350.0,0.5,0.0,0.0,0.0,0.0,1e-12
350.0,0.5,0.5,0.0,0.0,0.0,7.637626158259732e-13
350.0,0.5,1.0,0.0,0.0,0.0,6.416889479197479e-13
350.0,0.5,1.5,0.0,0.0,0.0,5.640760748177662e-13
350.0,0.5,2.0,0.0,0.0,0.0,5.091750772173155e-13
350.0,0.5,2.5,0.0,0.0,0.0,4.677071733467426e-13
350.0,0.5,3.0,0.0,0.0,0.0,4.3495883620084003e-13
350.0,1.0,0.0,0.0,2.3e-13,1.15e-13,1e-12
350.0,1.0,0.5,6.912900294980259e-05,1.15e-13,0.0,7.637626158259732e-13
350.0,1.0,1.0,6.981344852356301e-05,1.15e-13,0.0,6.416889479197479e-13
350.0,1.0,1.5,7.049789409732344e-05,1.15e-13,0.0,5.640760748177662e-13
