T,Vgs,Vds,Id,Cgs,Cgd,Cds
300.0,17.5,500.0,25.829718750000005,1.15e-13,0.0,3.739040973516833e-14
300.0,17.5,600.0,30.52603125000001,1.15e-13,0.0,3.413659534382498e-14
300.0,17.5,700.0,35.22234375000001,1.15e-13,0.0,3.16069770620507e-14
300.0,17.5,800.0,39.91865625000001,1.15e-13,0.0,2.956746597759446e-14
300.0,20.0,0.0,0.0,2.3e-13,1.15e-13,1e-12
300.0,20.0,100.0,9.340875000000002,1.15e-13,0.0,8.337470009355456e-14
300.0,20.0,200.0,15.568125000000004,1.15e-13,0.0,5.90575374144646e-14
300.0,20.0,300.0,21.795375000000007,1.15e-13,0.0,4.824833223044731e-14
300.0,20.0,400.0,28.022625000000005,1.15e-13,0.0,4.1796445423175375e-14
300.0,20.0,500.0,34.24987500000001,1.15e-13,0.0,3.739040973516833e-14
300.0,20.0,600.0,40.47712500000001,1.15e-13,0.0,3.413659534382498e-14
300.0,20.0,700.0,46.70437500000001,1.15e-13,0.0,3.16069770620507e-14
300.0,20.0,800.0,52.93162500000001,1.15e-13,0.0,2.956746597759446e-14
325.0,0.0,0.0,0.0,0.0,0.0,1e-12
325.0,0.0,100.0,0.0,0.0,0.0,8.337470009355456e-14
325.0,0.0,200.0,0.0,0.0,0.0,5.90575374144646e-14
325.0,0.0,300.0,0.0,0.0,0.0,4.824833223044731e-14
325.0,0.0,400.0,0.0,0.0,0.0,4.1796445423175375e-14
325.0,0.0,500.0,0.0,0.0,0.0,3.739040973516833e-14
325.0,0.0,600.0,0.0,0.0,0.0,3.413659534382498e-14
325.0,0.0,700.0,0.0,0.0,0.0,3.16069770620507e-14
325.0,0.0,800.0,0.0,0.0,0.0,2.956746597759446e-14
325.0,2.5,0.0,0.0,2.3e-13,1.15e-13,1e-12
325.0,2.5,100.0,0.055131599859204086,1.15e-13,0.0,8.337470009355456e-14
325.0,2.5,200.0,0.09188599976534013,1.15e-13,0.0,5.90575374144646e-14
325.0,2.5,300.0,0.1286403996714762,1.15e-13,0.0,4.824833223044731e-14
325.0,2.5,400.0,0.16539479957761224,1.15e-13,0.0,4.1796445423175375e-14
325.0,2.5,500.0,0.2021491994837483,1.15e-13,0.0,3.739040973516833e-14
325.0,2.5,600.0,0.23890359938988437,1.15e-13,0.0,3.413659534382498e-14
325.0,2.5,700.0,0.2756579992960204,1.15e-13,0.0,3.16069770620507e-14
325.0,2.5,800.0,0.31241239920215647,1.15e-13,0.0,2.956746597759446e-14
325.0,5.0,0.0,0.0,2.3e-13,1.15e-13,1e-12
325.0,5.0,100.0,0.3763979465933798,1.15e-13,0.0,8.337470009355456e-14
325.0,5.0,200.0,0.6273299109889663,1.15e-13,0.0,5.90575374144646e-14
325.0,5.0,300.0,0.8782618753845528,1.15e-13,0.0,4.824833223044731e-14
325.0,5.0,400.0,1.1291938397801393,1.15e-13,0.0,4.1796445423175375e-14
325.0,5.0,500.0,1.3801258041757258,1.15e-13,0.0,3.739040973516833e-14
325.0,5.0,600.0,1.6310577685713123,1.15e-13,0.0,3.413659534382498e-14
325.0,5.0,700.0,1.8819897329668989,1.15e-13,0.0,3.16069770620507e-14
325.0,5.0,800.0,2.1329216973624856,1.15e-13,0.0,2.956746597759446e-14
325.0,7.5,0.0,0.0,2.3e-13,1.15e-13,1e-12
325.0,7.5,100.0,0.9845092457687836,1.15e-13,0.0,8.337470009355456e-14
325.0,7.5,200.0,1.6408487429479726,1.15e-13,0.0,5.90575374144646e-14
325.0,7.5,300.0,2.2971882401271615,1.15e-13,0.0,4.824833223044731e-14
325.0,7.5,400.0,2.953527737306351,1.15e-13,0.0,4.1796445423175375e-14
325.0,7.5,500.0,3.60986723448554,1.15e-13,0.0,3.739040973516833e-14
325.0,7.5,600.0,4.266206731664729,1.15e-13,0.0,3.413659534382498e-14
325.0,7.5,700.0,4.922546228843918,1.15e-13,0.0,3.16069770620507e-14
325.0,7.5,800.0,5.578885726023107,1.15e-13,0.0,2.956746597759446e-14
325.0,10.0,0.0,0.0,2.3e-13,1.15e-13,1e-12
325.0,10.0,100.0,1.8794654973854161,1.15e-13,0.0,8.337470009355456e-14
325.0,10.0,200.0,3.13244249564236,1.15e-13,0.0,5.90575374144646e-14
325.0,10.0,300.0,4.385419493899304,1.15e-13,0.0,4.824833223044731e-14
325.0,10.0,400.0,5.638396492156248,1.15e-13,0.0,4.1796445423175375e-14
325.0,10.0,500.0,6.8913734904131925,1.15e-13,0.0,3.739040973516833e-14
325.0,10.0,600.0,8.144350488670137,1.15e-13,0.0,3.413659534382498e-14
325.0,10.0,700.0,9.39732748692708,1.15e-13,0.0,3.16069770620507e-14
325.0,10.0,800.0,10.650304485184025,1.15e-13,0.0,2.956746597759446e-14
325.0,12.5,0.0,0.0,2.3e-13,1.15e-13,1e-12
325.0,12.5,100.0,3.0612667014432766,1.15e-13,0.0,8.337470009355456e-14
325.0,12.5,200.0,5.102111169072128,1.15e-13,0.0,5.90575374144646e-14
325.0,12.5,300.0,7.142955636700979,1.15e-13,0.0,4.824833223044731e-14
325.0,12.5,400.0,9.18380010432983,1.15e-13,0.0,4.1796445423175375e-14
325.0,12.5,500.0,11.224644571958681,1.15e-13,0.0,3.739040973516833e-14
325.0,12.5,600.0,13.265489039587532,1.15e-13,0.0,3.413659534382498e-14
325.0,12.5,700.0,15.306333507216383,1.15e-13,0.0,3.16069770620507e-14
325.0,12.5,800.0,17.347177974845234,1.15e-13,0.0,2.956746597759446e-14
325.0,15.0,0.0,0.0,2.3e-13,1.15e-13,1e-12
325.0,15.0,100.0,4.5299128579423655,1.15e-13,0.0,8.337470009355456e-14
325.0,15.0,200.0,7.549854763237276,1.15e-13,0.0,5.90575374144646e-14
