datetime,voltage,current,soc,power,charged_energy,datetime,timestamp,derivative,mean_derivative
2023-05-16 06:59:50.300000+00:00,323.20001220703125,0.30000001192092896,30.0,1120004997.0,0.0,2023-05-16 06:59:50.300000+00:00,1684220390.3,,0.0
2023-05-16 06:59:50.400000+00:00,323.61429704938615,0.2857142963579723,30.0,1119410679.142857,0.0006683682357626301,2023-05-16 06:59:50.400000+00:00,1684220390.4,-0.14285715562956658,0.0
2023-05-16 06:59:50.500000+00:00,324.02858189174106,0.2714285807950156,30.0,1118816361.2857144,0.0013367364715252603,2023-05-16 06:59:50.500000+00:00,1684220390.5,-0.14285715562956713,0.0
2023-05-16 06:59:50.600000+00:00,324.44286673409596,0.2571428652320589,30.0,1118222043.4285715,0.0020051047072878903,2023-05-16 06:59:50.600000+00:00,1684220390.6,-0.14285715562956658,0.0
2023-05-16 06:59:50.700000+00:00,324.8571515764509,0.24285714966910227,30.0,1117627725.5714285,0.0026734729430505206,2023-05-16 06:59:50.700000+00:00,1684220390.7,-0.14285715562956658,0.0
2023-05-16 06:59:50.800000+00:00,325.2714364188058,0.22857143410614558,30.0,1117033407.7142856,0.003341841178813151,2023-05-16 06:59:50.800000+00:00,1684220390.8,-0.14285715562956686,0.0
2023-05-16 06:59:50.900000+00:00,325.6857212611607,0.2142857185431889,30.0,1116439089.857143,0.004010209414575781,2023-05-16 06:59:50.900000+00:00,1684220390.9,-0.14285715562956686,0.0
2023-05-16 06:59:51+00:00,326.1000061035156,0.20000000298023224,30.0,1115844772.0,0.004678577650338411,2023-05-16 06:59:51+00:00,1684220391.0,-0.14285715562956658,14.824175312296374
2023-05-16 06:59:51.100000+00:00,326.2000034877232,3.428571322134563,30.0,1123993752.2857144,0.0524710633658937,2023-05-16 06:59:51.100000+00:00,1684220391.1,32.2857131915433,17.318680723617362
2023-05-16 06:59:51.200000+00:00,326.3000008719308,6.657142641288893,30.0,1132142732.5714285,0.100263549081449,2023-05-16 06:59:51.200000+00:00,1684220391.2,32.2857131915433,16.373625905304166
2023-05-16 06:59:51.300000+00:00,326.3999982561384,9.885713960443224,30.0,1140291712.857143,0.1480560347970043,2023-05-16 06:59:51.300000+00:00,1684220391.3,32.28571319154331,15.428571086990964
2023-05-16 06:59:51.400000+00:00,326.49999564034596,13.114285279597555,30.0,1148440693.142857,0.19584852051255958,2023-05-16 06:59:51.400000+00:00,1684220391.4,32.2857131915433,14.48351626867776
2023-05-16 06:59:51.500000+00:00,326.59999302455356,16.342856598751887,30.0,1156589673.4285715,0.24364100622811485,2023-05-16 06:59:51.500000+00:00,1684220391.5,32.285713191543316,13.538461450364563
2023-05-16 06:59:51.600000+00:00,326.69999040876115,19.571427917906217,30.0,1164738653.7142856,0.2914334919436702,2023-05-16 06:59:51.600000+00:00,1684220391.6,32.2857131915433,12.59340663205136
2023-05-16 06:59:51.700000+00:00,326.79998779296875,22.799999237060547,30.0,1172887634.0,0.33922597765922546,2023-05-16 06:59:51.700000+00:00,1684220391.7,32.2857131915433,11.648351813738163
2023-05-16 06:59:51.800000+00:00,326.79998779296875,21.55714225769043,30.0,1172055806.5714285,0.5339280452047075,2023-05-16 06:59:51.800000+00:00,1684220391.8,-12.428569793701172,8.208791584103972
2023-05-16 06:59:51.900000+00:00,326.79998779296875,20.314285278320312,30.0,1171223979.142857,0.7286301127501896,2023-05-16 06:59:51.900000+00:00,1684220391.9,-12.428569793701172,5.725275184754486
2023-05-16 06:59:52+00:00,326.79998779296875,19.071428298950195,30.0,1170392151.7142856,0.9233321802956718,2023-05-16 06:59:52+00:00,1684220392.0,-12.428569793701172,3.2417587854050014
2023-05-16 06:59:52.100000+00:00,326.79998779296875,17.828571319580078,30.0,1169560324.2857144,1.1180342478411538,2023-05-16 06:59:52.100000+00:00,1684220392.1,-12.428569793701172,0.7582423860555166
2023-05-16 06:59:52.200000+00:00,326.79998779296875,16.58571434020996,30.0,1168728496.857143,1.3127363153866358,2023-05-16 06:59:52.200000+00:00,1684220392.2,-12.428569793701172,-1.7252740132939692
2023-05-16 06:59:52.300000+00:00,326.79998779296875,15.342857360839844,30.0,1167896669.4285715,1.507438382932118,2023-05-16 06:59:52.300000+00:00,1684220392.3,-12.428569793701172,-4.208790412643454
2023-05-16 06:59:52.400000+00:00,326.79998779296875,14.100000381469727,30.0,1167064842.0,1.7021404504776,2023-05-16 06:59:52.400000+00:00,1684220392.4,-12.428569793701172,-6.692306811992939
2023-05-16 06:59:52.500000+00:00,326.79998779296875,14.100000381469727,30.0,1167064842.0,1.7021404504776,2023-05-16 06:59:52.500000+00:00,1684220392.5,0.0,-5.747252034616995
2023-05-16 06:59:52.600000+00:00,326.79998779296875,14.100000381469727,30.0,1167064842.0,1.7021404504776,2023-05-16 06:59:52.600000+00:00,1684220392.6,0.0,-4.80219725724105
2023-05-16 06:59:52.700000+00:00,326.79998779296875,14.100000381469727,30.0,1167064842.0,1.7021404504776,2023-05-16 06:59:52.700000+00:00,1684220392.7,0.0,-3.857142479865106
2023-05-16 06:59:52.800000+00:00,326.79998779296875,14.100000381469727,30.0,1167064842.0,1.7021404504776,2023-05-16 06:59:52.800000+00:00,1684220392.8,0.0,-2.9120877024891607
2023-05-16 06:59:52.900000+00:00,326.79998779296875,14.100000381469727,30.0,1167064842.0,1.7021404504776,2023-05-16 06:59:52.900000+00:00,1684220392.9,0.0,-1.9670329251132164
2023-05-16 06:59:53+00:00,326.79998779296875,14.100000381469727,30.0,1167064842.0,1.7021404504776,2023-05-16 06:59:53+00:00,1684220393.0,0.0,-1.0219781477372722
