time,T,Vgs,Vds,Id,Cgs,Cgd,Cds
0.0,300,0.0,0.0,0.0,0.0,0.0,9.929327736346237e-23
0.001001001001001001,300,0.0,100.0,0.0,0.0,0.0,8.337470009355457e-24
0.002002002002002002,300,0.0,200.0,0.0,0.0,0.0,5.90575374144646e-24
0.003003003003003003,300,0.0,300.0,0.0,0.0,0.0,4.824833223044732e-24
0.004004004004004004,300,0.0,400.0,0.0,0.0,0.0,4.179644542317538e-24
0.005005005005005005,300,0.0,500.0,0.0,0.0,0.0,3.739040973516833e-24
0.006006006006006006,300,0.0,600.0,0.0,0.0,0.0,3.413659534382499e-24
0.007007007007007007,300,0.0,700.0,0.0,0.0,0.0,3.1606977062050698e-24
0.008008008008008008,300,0.0,800.0,0.0,0.0,0.0,2.956746597759446e-24
0.009009009009009009,300,2.5,0.0,0.0,7.776505554294456e-13,,9.929327736346237e-23
0.01001001001001001,300,2.5,100.0,5.22458223565936e-08,7.776505554294456e-13,0.0,8.337470009355457e-24
0.011011011011011011,300,2.5,200.0,8.707637059432266e-08,7.776505554294456e-13,0.0,5.90575374144646e-24
0.012012012012012012,300,2.5,300.0,1.2190691883205174e-07,7.776505554294456e-13,0.0,4.824833223044732e-24
0.013013013013013013,300,2.5,400.0,1.5673746706978078e-07,7.776505554294456e-13,0.0,4.179644542317538e-24
0.014014014014014014,300,2.5,500.0,1.9156801530750987e-07,7.776505554294456e-13,0.0,3.739040973516833e-24
0.015015015015015015,300,2.5,600.0,2.263985635452389e-07,7.776505554294456e-13,0.0,3.413659534382499e-24
0.016016016016016016,300,2.5,700.0,2.61229111782968e-07,7.776505554294456e-13,0.0,3.1606977062050698e-24
0.017017017017017015,300,2.5,800.0,2.9605966002069704e-07,7.776505554294456e-13,0.0,2.956746597759446e-24
0.018018018018018018,300,5.0,0.0,0.0,8.230358060504626e-13,,9.929327736346237e-23
0.01901901901901902,300,5.0,100.0,3.7152584786911003e-07,8.230358060504626e-13,0.0,8.337470009355457e-24
0.02002002002002002,300,5.0,200.0,6.192097464485168e-07,8.230358060504626e-13,0.0,5.90575374144646e-24
0.02102102102102102,300,5.0,300.0,8.668936450279234e-07,8.230358060504626e-13,0.0,4.824833223044732e-24
0.022022022022022022,300,5.0,400.0,1.11457754360733e-06,8.230358060504626e-13,0.0,4.179644542317538e-24
0.023023023023023025,300,5.0,500.0,1.3622614421867368e-06,8.230358060504626e-13,0.0,3.739040973516833e-24
0.024024024024024024,300,5.0,600.0,1.6099453407661436e-06,8.230358060504626e-13,0.0,3.413659534382499e-24
0.025025025025025023,300,5.0,700.0,1.8576292393455504e-06,8.230358060504626e-13,0.0,3.1606977062050698e-24
0.026026026026026026,300,5.0,800.0,2.105313137924957e-06,8.230358060504626e-13,0.0,2.956746597759446e-24
0.02702702702702703,300,7.5,0.0,0.0,8.275856736971405e-13,,9.929327736346237e-23
0.028028028028028028,300,7.5,100.0,9.810604420293688e-07,8.275856736971405e-13,0.0,8.337470009355457e-24
0.029029029029029027,300,7.5,200.0,1.6351007367156145e-06,8.275856736971405e-13,0.0,5.90575374144646e-24
0.03003003003003003,300,7.5,300.0,2.2891410314018605e-06,8.275856736971405e-13,0.0,4.824833223044732e-24
0.031031031031031032,300,7.5,400.0,2.943181326088106e-06,8.275856736971405e-13,0.0,4.179644542317538e-24
0.03203203203203203,300,7.5,500.0,3.597221620774352e-06,8.275856736971405e-13,0.0,3.739040973516833e-24
0.03303303303303303,300,7.5,600.0,4.251261915460598e-06,8.275856736971405e-13,0.0,3.413659534382499e-24
0.03403403403403403,300,7.5,700.0,4.905302210146844e-06,8.275856736971405e-13,0.0,3.1606977062050698e-24
0.035035035035035036,300,7.5,800.0,5.559342504833089e-06,8.275856736971405e-13,0.0,2.956746597759446e-24
0.036036036036036036,300,10.0,0.0,0.0,8.279659430970277e-13,,9.929327736346237e-23
0.037037037037037035,300,10.0,100.0,1.8808496048373698e-06,8.279659430970277e-13,0.0,8.337470009355457e-24
0.03803803803803804,300,10.0,200.0,3.134749341395616e-06,8.279659430970277e-13,0.0,5.90575374144646e-24
0.03903903903903904,300,10.0,300.0,4.388649077953862e-06,8.279659430970277e-13,0.0,4.824833223044732e-24
0.04004004004004004,300,10.0,400.0,5.642548814512109e-06,8.279659430970277e-13,0.0,4.179644542317538e-24
0.04104104104104104,300,10.0,500.0,6.896448551070356e-06,8.279659430970277e-13,0.0,3.739040973516833e-24
0.04204204204204204,300,10.0,600.0,8.150348287628603e-06,8.279659430970277e-13,0.0,3.413659534382499e-24
0.043043043043043044,300,10.0,700.0,9.404248024186848e-06,8.279659430970277e-13,0.0,3.1606977062050698e-24
0.044044044044044044,300,10.0,800.0,1.0658147760745095e-05,8.279659430970277e-13,0.0,2.956746597759446e-24
0.04504504504504504,300,12.5,0.0,0.0,8.27997204122489e-13,,9.929327736346237e-23
0.04604604604604605,300,12.5,100.0,3.0708933362931124e-06,8.27997204122489e-13,0.0,8.337470009355457e-24
0.04704704704704705,300,12.5,200.0,5.118155560488521e-06,8.27997204122489e-13,0.0,5.90575374144646e-24
0.04804804804804805,300,12.5,300.0,7.165417784683929e-06,8.27997204122489e-13,0.0,4.824833223044732e-24
0.04904904904904905,300,12.5,400.0,9.212680008879337e-06,8.27997204122489e-13,0.0,4.179644542317538e-24
0.050050050050050046,300,12.5,500.0,1.1259942233074746e-05,8.27997204122489e-13,0.0,3.739040973516833e-24
0.05105105105105105,300,12.5,600.0,1.3307204457270155e-05,8.27997204122489e-13,0.0,3.413659534382499e-24
