datetime,datetime,timestamp,current,voltage,soc,temperature
2023-05-16 07:09:28.868,2023-05-16 07:09:28.868,1684213768868,48.45,331.18,41.8,19.64
2023-05-16 07:09:28.978,2023-05-16 07:09:28.978,1684213768978,48.45,331.18,41.8,19.64
2023-05-16 07:09:29.068,2023-05-16 07:09:29.068,1684213769068,48.45,331.18,41.8,19.64
2023-05-16 07:09:29.195,2023-05-16 07:09:29.195,1684213769195,48.45,331.18,41.81,19.64
2023-05-16 07:09:29.285,2023-05-16 07:09:29.285,1684213769285,48.45,331.18,41.81,19.64
2023-05-16 07:09:29.377,2023-05-16 07:09:29.377,1684213769377,47.8,331.18,41.81,19.64
2023-05-16 07:09:29.531,2023-05-16 07:09:29.531,1684213769531,47.8,330.94,41.81,19.64
2023-05-16 07:09:29.630,2023-05-16 07:09:29.630,1684213769.63,47.8,330.94,41.81,19.64
2023-05-16 07:09:29.722,2023-05-16 07:09:29.722,1684213769722,47.8,330.94,41.81,19.64
2023-05-16 07:09:29.865,2023-05-16 07:09:29.865,1684213769865,47.8,330.94,41.81,19.64
2023-05-16 07:09:29.964,2023-05-16 07:09:29.964,1684213769964,47.8,330.94,41.81,19.64
2023-05-16 07:09:30.084,2023-05-16 07:09:30.084,1684213770084,47.8,330.94,41.81,19.64
2023-05-16 07:09:30.227,2023-05-16 07:09:30.227,1684213770227,48.52,330.94,41.81,19.64
2023-05-16 07:09:30.321,2023-05-16 07:09:30.321,1684213770321,48.52,331.22,41.81,19.64
2023-05-16 07:09:30.417,2023-05-16 07:09:30.417,1684213770417,48.52,331.22,41.81,19.64
2023-05-16 07:09:30.523,2023-05-16 07:09:30.523,1684213770523,48.52,331.22,41.81,19.64
2023-05-16 07:09:30.664,2023-05-16 07:09:30.664,1684213770664,48.52,331.22,41.81,19.64
2023-05-16 07:09:30.776,2023-05-16 07:09:30.776,1684213770776,48.52,331.22,41.82,19.64
2023-05-16 07:09:30.870,2023-05-16 07:09:30.870,1684213770.87,46.09,331.22,41.82,19.64
2023-05-16 07:09:31.010,2023-05-16 07:09:31.010,1684213771.01,46.09,331.12,41.82,19.64
2023-05-16 07:09:31.107,2023-05-16 07:09:31.107,1684213771107,46.09,331.12,41.82,19.64
2023-05-16 07:09:31.230,2023-05-16 07:09:31.230,1684213771.23,46.09,331.12,41.82,19.64
2023-05-16 07:09:31.396,2023-05-16 07:09:31.396,1684213771396,46.09,331.12,41.82,19.64
2023-05-16 07:09:31.490,2023-05-16 07:09:31.490,1684213771.49,46.09,331.12,41.82,19.64
2023-05-16 07:09:31.585,2023-05-16 07:09:31.585,1684213771585,46.09,331.12,41.82,19.64
2023-05-16 07:09:31.726,2023-05-16 07:09:31.726,1684213771726,45.95,331.12,41.82,19.64
2023-05-16 07:09:31.820,2023-05-16 07:09:31.820,1684213771.82,45.95,331.06,41.82,19.64
2023-05-16 07:09:31.913,2023-05-16 07:09:31.913,1684213771913,45.95,331.06,41.82,19.64
2023-05-16 07:09:32.074,2023-05-16 07:09:32.074,1684213772074,45.95,331.06,41.82,19.64
2023-05-16 07:09:32.167,2023-05-16 07:09:32.167,1684213772167,45.95,331.06,41.82,19.64
2023-05-16 07:09:32.268,2023-05-16 07:09:32.268,1684213772268,45.95,331.06,41.83,19.64
2023-05-16 07:09:32.367,2023-05-16 07:09:32.367,1684213772367,45.95,331.06,41.83,19.64
2023-05-16 07:09:32.510,2023-05-16 07:09:32.510,1684213772.51,46.23,331.12,41.83,19.64
2023-05-16 07:09:32.602,2023-05-16 07:09:32.602,1684213772602,46.23,331.12,41.83,19.64
2023-05-16 07:09:32.717,2023-05-16 07:09:32.717,1684213772717,46.23,331.12,41.83,19.64
2023-05-16 07:09:32.845,2023-05-16 07:09:32.845,1684213772845,46.23,331.12,41.83,19.64
2023-05-16 07:09:32.933,2023-05-16 07:09:32.933,1684213772933,46.23,331.12,41.83,19.64
2023-05-16 07:09:33.025,2023-05-16 07:09:33.025,1684213773025,46.23,331.12,41.83,19.64
2023-05-16 07:09:33.114,2023-05-16 07:09:33.114,1684213773114,46.23,331.12,41.83,19.64
2023-05-16 07:09:33.277,2023-05-16 07:09:33.277,1684213773277,45.75,331.06,41.83,19.64
2023-05-16 07:09:33.375,2023-05-16 07:09:33.375,1684213773375,45.75,331.06,41.83,19.64
2023-05-16 07:09:33.475,2023-05-16 07:09:33.475,1684213773475,45.75,331.06,41.83,19.65
